timestamp,equity,cash,invested,realized_pnl,positions
2026-09-15T10:39:49.186076+00:00,1000.0,1000.0,0,0.0,0
2026-09-15T10:58:42.586835+00:00,1000.0,1000.0,0,0.0,0
2026-09-15T11:09:29.812563+00:00,1000.0,1000.0,0,0.0,0
2026-09-15T17:25:02.175606+00:00,1000.0,1000.0,0,0.0,0
2026-09-15T20:20:16.535494+00:00,1000.0,1000.0,0,0.0,0
2026-09-15T23:00:09.212492+00:00,1000.0,1000.0,0,0.0,0
2026-09-16T17:24:06.132394+00:00,999.8001,600.02,399.7801,0.0,2
2026-09-16T20:18:23.646510+00:00,998.6913,600.02,398.6713,0.0,2
2026-09-16T23:05:37.095684+00:00,998.777,600.02,398.757,0.0,2
2026-09-17T17:23:20.337634+00:00,1001.8993,600.02,401.8793,0.0,2
2026-09-17T20:26:48.840255+00:00,1003.7845,600.02,403.7645,0.0,2
2026-09-17T22:58:14.560737+00:00,1003.7845,600.02,403.7645,0.0,2
2026-09-18T16:51:19.483136+00:00,999.4493,400.1102,599.3391,0.0,3
2026-09-18T19:20:44.172521+00:00,1001.0646,400.1102,600.9545,0.0,3
2026-09-18T21:45:44.349331+00:00,999.9899,400.1102,599.8798,0.0,3
2026-09-21T18:24:28.528270+00:00,1026.6972,205.3441,821.3531,20.4932,5
2026-09-21T22:05:33.891691+00:00,1026.1759,205.3441,820.8318,20.4932,5
2026-09-22T17:27:32.342152+00:00,1028.1334,205.3441,822.7894,20.4932,5
2026-09-22T20:21:09.852117+00:00,1025.1522,205.3441,819.8081,20.4932,5
2026-09-22T23:05:58.228593+00:00,1025.144,205.3441,819.8,20.4932,5
